"code","error","x-global-transaction-id","usage__text_units","usage__text_characters","usage__features","language","keywords__text","keywords__sentiment__score","keywords__sentiment__label","keywords__relevance","keywords__emotion__sadness","keywords__emotion__joy","keywords__emotion__fear","keywords__emotion__disgust","keywords__emotion__anger"
"400","not enough text provided for language detection","683fc2df5a72cd470cab4dd9","","","","","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72cd470bce3f71","","","","","","","","","","","","",""
"","","","1","12","1","en","","","","","","","","",""
"","","","1","33","1","en","","","","","","","","",""
"","","","1","45","1","en","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72cd470bce3f91","","","","","","","","","","","","",""
"","","","1","45","1","en","color","0","neutral","0.910611","0.037968","0.638752","0.035251","0.009901","0.021249"
"","","","1","26","1","en","color","0.440113","positive","0.94062","0.498532","0.106766","0.075091","0.015557","0.053482"
"400","not enough text provided for language detection","683fc2df5a72cd470cab4e89","","","","","","","","","","","","",""
"","","","1","37","1","en","lips","-0.400378","negative","0.963868","0.457461","0.182677","0.148679","0.255984","0.167738"
"","","","1","21","1","en","","","","","","","","",""
"","","","1","75","1","en","sparkle effect","-0.698268","negative","0.971574","0.504792","0.331873","0.047214","0.008712","0.042223"
"400","not enough text provided for language detection","683fc2df5a72cd470c31adc5","","","","","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72cd470cab4b99","","","","","","","","","","","","",""
"","","","1","30","1","en","shine","-0.492444","negative","0.998039","0.316563","0.573501","0.011788","0.003034","0.013669"
"400","not enough text provided for language detection","683fc2df5a72cd470cab4fd9","","","","","","","","","","","","",""
"","","","1","63","1","en","lips","-0.501892","negative","0.904675","0.633895","0.157223","0.116269","0.120858","0.092165"
"","","","1","68","1","en","lips","-0.490328","negative","0.914917","0.632979","0.062323","0.168632","0.265195","0.121609"
"","","","1","18","1","en","way","0","neutral","0.945444","0.256476","0.308924","0.173058","0.070705","0.164261"
"","","","1","32","1","en","","","","","","","","",""
"","","","1","33","1","en","lip","-0.656577","negative","0.942077","0.301118","0.274613","0.154291","0.308902","0.163165"
"","","","1","25","1","en","","","","","","","","",""
"","","","1","23","1","en","","","","","","","","",""
"","","","1","40","1","en","lip gloss","0","neutral","0.955041","0.246062","0.38953","0.170865","0.121626","0.110193"
"","","","1","22","1","en","bit","0","neutral","0.98327","0.257013","0.262181","0.139583","0.065319","0.083569"
"400","not enough text provided for language detection","683fc2df5a72cd470cab5069","","","","","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72cd470cab5189","","","","","","","","","","","","",""
"","","","1","14","1","en","stickyness","0","neutral","0.927397","0","0","0","0.931034","0"
"","","","1","40","1","en","scent","-0.830787","negative","0.926677","0.514253","0.078317","0.074223","0.058103","0.126859"
"","","","1","29","1","en","sticky feeling","0","neutral","0.924147","0.411227","0.275528","0.176913","0.058428","0.079856"
"","","","1","55","1","en","bit","0","neutral","0.914266","0.110068","0.153057","0.041111","0.376234","0.053254"
"","","","1","25","1","en","","","","","","","","",""
"","","","1","61","1","en","fact","-0.763094","negative","0.955934","0.601632","0.078803","0.080791","0.122603","0.139046"
"","","","1","31","1","en","color","-0.484132","negative","0.923393","0.083204","0.203961","0.117586","0.023238","0.027477"
"400","not enough text provided for language detection","683fc2df5a72cd470c31b045","","","","","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72cd470c31af75","","","","","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72cd470cab5059","","","","","","","","","","","","",""
"","","","1","64","1","en","glitter","-0.521701","negative","0.945924","0.304775","0.238495","0.112485","0.062009","0.142695"
"400","not enough text provided for language detection","683fc2df5a72cd470c31af25","","","","","","","","","","","","",""
"","","","1","53","1","en","glitter","-0.788375","negative","0.962042","0.324209","0.157627","0.105816","0.327956","0.200541"
"","","","1","94","1","en","dollar store","-0.430775","negative","0.974286","0.429879","0.059435","0.051158","0.02473","0.019987"
"","","","1","113","1","en","lips","-0.592425","negative","0.900611","0.30092","0.186159","0.130525","0.060951","0.047964"
"400","not enough text provided for language detection","683fc2df5a72cd460cab4ff9","","","","","","","","","","","","",""
