"code","error","x-global-transaction-id","usage__text_units","usage__text_characters","usage__features","language","keywords__text","keywords__sentiment__score","keywords__sentiment__label","keywords__relevance","keywords__emotion__sadness","keywords__emotion__joy","keywords__emotion__fear","keywords__emotion__disgust","keywords__emotion__anger"
"","","","1","49","1","en","texture","0.805908","positive","0.904467","0.117525","0.452044","0.072415","0.065423","0.037253"
"","","","1","93","1","en","glossy red color","0.93426","positive","0.955661","0.047489","0.788892","0.113142","0.010355","0.030244"
"400","not enough text provided for language detection","0e7fa6da5a72ccd80cd1b6e9","","","","","","","","","","","","",""
"","","","1","79","1","en","glare","0.828202","positive","0.974013","0.17375","0.288893","0.092497","0.096474","0.091108"
"","","","1","50","1","en","way","0.740776","positive","0.939133","0.213299","0.522049","0.114223","0.022781","0.034224"
"","","","1","126","1","en","lips","0.786132","positive","0.955804","0.552432","0.231045","0.112748","0.16651","0.089489"
"","","","1","74","1","en","color","0.840449","positive","0.956763","0.170243","0.263306","0.076385","0.022918","0.046421"
"","","","1","57","1","en","lips","-0.387435","negative","0.909582","0.615976","0.084305","0.145386","0.113242","0.065848"
"","","","1","43","1","en","longer","0","neutral","0.909812","0.323789","0.279645","0.150337","0.060239","0.086409"
"","","","1","66","1","en","nice feeling","0.961127","positive","0.974277","0.337274","0.646823","0.014596","0.005555","0.016756"
"","","","1","21","1","en","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72ccd80bce0471","","","","","","","","","","","","",""
"","","","1","17","1","en","","","","","","","","",""
"","","","1","37","1","en","applicator","0.751155","positive","0.929539","0.085035","0.288312","0.066166","0.015896","0.043489"
"","","","1","38","1","en","","","","","","","","",""
"","","","1","29","1","en","shine","0.940543","positive","0.911296","0.236634","0.606295","0.017833","0.009853","0.025034"
"","","","1","19","1","en","color","0.654092","positive","0.94062","0.012261","0.732326","0.026618","0.002061","0.006052"
"","","","1","51","1","en","long time","0.933588","positive","0.930318","0.179634","0.777686","0.009793","0.002683","0.006939"
"","","","1","38","1","en","lip glosses","-0.680475","negative","0.936241","0.513102","0.145824","0.12158","0.128103","0.117535"
"","","","1","45","1","en","nice shine","0.950761","positive","0.93444","0.06961","0.90538","0.004151","0.00097","0.006437"
"","","","1","52","1","en","red color","0.581586","positive","0.992639","0.033419","0.849368","0.021864","0.002067","0.003997"
"","","","1","146","1","en","lips","0.939705","positive","0.997728","0.454042","0.205316","0.142946","0.059441","0.061322"
"","","","1","43","1","en","lips","0.95208","positive","0.923925","0.111902","0.757998","0.093527","0.040275","0.026448"
"","","","1","20","1","en","shine","0.905722","positive","0.907137","0.146478","0.813344","0.005941","0.001969","0.008221"
"","","","1","66","1","en","shiny result","0","neutral","0.92318","0.328927","0.200783","0.094054","0.038693","0.117885"
"400","not enough text provided for language detection","683fc2df5a72ccd80bce0831","","","","","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72ccd80bce0791","","","","","","","","","","","","",""
"","","","1","94","1","en","lip gloss","0.838988","positive","0.966255","0.232886","0.361723","0.176028","0.117737","0.07483"
"","","","1","9","1","en","color","0.438365","positive","0.927397","0","0","0","0","0"
"","","","1","39","1","en","summer look","0.786578","positive","0.906242","0.020217","0.869756","0.018383","0.002332","0.006458"
"","","","1","69","1","en","","","","","","","","",""
"","","","1","184","1","en","good portion","0","neutral","0.956925","0.190946","0.662759","0.041182","0.003307","0.007345"
"","","","1","38","1","en","color","0.721404","positive","0.9914","0.116082","0.238508","0.076956","0.027223","0.054837"
"400","not enough text provided for language detection","683fc2df5a72ccd80bce0871","","","","","","","","","","","","",""
"","","","1","17","1","en","feel","0.527497","positive","0.973111","0","0","0","0","0"
"","","","1","64","1","en","brush","0.896709","positive","0.900996","0.043548","0.815102","0.021755","0.008385","0.029872"
"","","","1","33","1","en","sparkles","0.871086","positive","0.984165","0.0352","0.790319","0.017274","0.004444","0.020033"
"","","","1","16","1","en","light color","0","neutral","0.978517","0.049706","0.221781","0.105491","0.015173","0.018741"
"","","","1","52","1","en","consistency","0.834595","positive","0.9968","0.145682","0.177444","0.059554","0.016514","0.02417"
"","","","1","55","1","en","product","0.511002","positive","0.987377","0.030811","0.635409","0.025404","0.00197","0.005804"
"","","","1","89","1","en","consistency","0","neutral","0.923755","0.245482","0.287581","0.111372","0.186013","0.142558"
"","","","1","31","1","en","soft look","0.817024","positive","0.979594","0.083316","0.309758","0.055846","0.028746","0.035259"
"","","","1","63","1","en","shimmer","0","neutral","0.962476","0.585337","0.172294","0.176636","0.03768","0.02827"
"400","not enough text provided for language detection","683fc2df5a72ccd80c313e75","","","","","","","","","","","","",""
"","","","1","33","1","en","color","0.605022","positive","0.915052","0.109332","0.275274","0.053992","0.010541","0.018489"
"","","","1","25","1","en","texture","0.588649","positive","0.959942","0.086505","0.174076","0.071258","0.021964","0.055576"
"400","not enough text provided for language detection","683fc2df5a72ccd80bce04f1","","","","","","","","","","","","",""
"","","","1","62","1","en","color","0","neutral","0.99744","0.353784","0.137379","0.085346","0.024725","0.050073"
"400","not enough text provided for language detection","683fc2df5a72ccd80bce0561","","","","","","","","","","","","",""
"","","","1","73","1","en","product was.","0.826927","positive","0.959045","0.407344","0.201119","0.085605","0.048565","0.03795"
"","","","1","52","1","en","applicator","0.740977","positive","0.917083","0.085035","0.288312","0.066166","0.015896","0.043489"
"","","","1","32","1","en","texture","0.798017","positive","0.99466","0.105955","0.240818","0.075271","0.028191","0.057152"
"","","","1","23","1","en","shimmeryness","0","neutral","0.91615","0.15857","0.543518","0.062614","0.118477","0.075906"
"","","","1","37","1","en","glossy shimmer","0","neutral","0.951899","0.611303","0.066823","0.196916","0.233474","0.151177"
"","","","1","37","1","en","lips","0.935367","positive","0.940672","0.111086","0.817328","0.062472","0.013423","0.008093"
"400","not enough text provided for language detection","683fc2df5a72ccd80bce0641","","","","","","","","","","","","",""
"","","","1","27","1","en","lips","0.892101","positive","0.991561","0.057892","0.790186","0.041437","0.047924","0.025243"
"","","","1","22","1","en","lips","0.800603","positive","0.957221","0.049013","0.710175","0.009673","0.246009","0.024997"
"","","","1","141","1","en","lip gloss","0","neutral","0.910024","0.303274","0.213282","0.11629","0.280694","0.194503"
"","","","1","98","1","en","way","0","neutral","0.978566","0.200555","0.255347","0.064607","0.055234","0.061471"
"","","","1","77","1","en","product","0.588247","positive","0.926124","0.198463","0.233512","0.065569","0.016904","0.017951"
"","","","1","133","1","en","applicator","0","neutral","0.929653","0.360996","0.365851","0.185024","0.105797","0.108273"
"","","","1","84","1","en","long time","0","neutral","0.953707","0.372637","0.346428","0.100272","0.028026","0.03999"
"","","","1","39","1","en","glossy texture","0.817804","positive","0.920085","0.095493","0.266966","0.067686","0.028459","0.054089"
"","","","1","16","1","en","color","0.598548","positive","0.91615","0.085035","0.288312","0.066166","0.015896","0.043489"
"","","","1","16","1","en","color","0.598548","positive","0.91615","0.085035","0.288312","0.066166","0.015896","0.043489"
"","","","1","74","1","en","pink color","0.898919","positive","0.906039","0.006177","0.776337","0.020457","0.004957","0.025666"
"","","","1","49","1","en","lips","0.82866","positive","0.933698","0.111086","0.817328","0.062472","0.013423","0.008093"
"","","","1","54","1","en","lips","0.677054","positive","0.995641","0.152365","0.435373","0.091381","0.251804","0.079479"
"","","","1","114","1","en","nice little shimmer","0.924571","positive","0.910923","0.139749","0.731788","0.044944","0.035588","0.05211"
"","","","1","54","1","en","shiny applicator","0.700551","positive","0.983652","0.179871","0.229731","0.097169","0.087704","0.090839"
"","","","1","49","1","en","shade.","0.938059","positive","0.926823","0.329121","0.473051","0.037723","0.009335","0.026098"
"","","","1","25","1","en","way","0.761475","positive","0.976031","0.193146","0.432754","0.061875","0.152016","0.086864"
"","","","1","50","1","en","product","0","neutral","0.988028","0.170396","0.15121","0.044864","0.011947","0.022363"
"","","","1","27","1","en","","","","","","","","",""
"","","","1","116","1","en","nice sensation","0.889875","positive","0.919364","0.074143","0.777321","0.06583","0.046249","0.033533"
"","","","1","89","1","en","lips","0","neutral","0.948057","0.221548","0.404229","0.073215","0.083608","0.029848"
"","","","1","15","1","en","","","","","","","","",""
"","","","1","21","1","en","","","","","","","","",""
"","","","1","95","1","en","glitter","0.76217","positive","0.936343","0.163241","0.483919","0.172237","0.073592","0.084686"
"","","","1","92","1","en","lips","0.92686","positive","0.927135","0.281714","0.67489","0.022009","0.015258","0.018654"
"","","","1","10","1","en","","","","","","","","",""
"","","","1","22","1","en","color","0.714783","positive","0.927397","0.149818","0.532565","0.115212","0.013052","0.043843"
"","","","1","62","1","en","lip gloss","0.608024","positive","0.981132","0.128955","0.313659","0.117451","0.541771","0.028031"
"","","","1","79","1","en","lips","0.683441","positive","0.994982","0.40304","0.540751","0.070726","0.010448","0.016508"
"","","","1","18","1","en","color","0.773341","positive","0.906854","0.085035","0.288312","0.066166","0.015896","0.043489"
"","","","1","14","1","en","","","","","","","","",""
"","","","1","12","1","en","","","","","","","","",""
"","","","1","186","1","en","nice red","0.443224","positive","0.949915","0.077718","0.864902","0.017325","0.022821","0.01767"
"","","","1","144","1","en","lip glosses","-0.785242","negative","0.961195","0.298739","0.136364","0.176912","0.06124","0.081191"
"","","","1","44","1","en","glittery","0.806499","positive","0.96247","0.264379","0.358683","0.174821","0.227731","0.100921"
"","","","1","35","1","en","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72ccd90bce0361","","","","","","","","","","","","",""
"","","","1","50","1","en","bit","0","neutral","0.961056","0.250971","0.422411","0.208884","0.065277","0.105662"
"","","","1","111","1","en","long time","0.899986","positive","0.992179","0.382663","0.571334","0.038469","0.00875","0.010138"
"","","","1","104","1","en","lips","0","neutral","0.970349","0.200121","0.255866","0.189151","0.220611","0.157783"
"","","","1","53","1","en","lips","0.901894","positive","0.993149","0.580848","0.166484","0.175661","0.167949","0.085933"
"","","","1","49","1","en","sticky product","0.864913","positive","0.916683","0.182551","0.131721","0.053815","0.030847","0.028462"
"","","","1","32","1","en","TH e shading","0","neutral","0.968564","0.095169","0.709728","0.082657","0.010046","0.058178"
"","","","1","29","1","en","sheen","0.842381","positive","0.916854","0.012669","0.854266","0.007347","0.001344","0.005469"
"","","","1","24","1","en","","","","","","","","",""
"","","","1","99","1","en","taste","-0.770625","negative","0.934389","0.101005","0.293543","0.020797","0.593472","0.051008"
"","","","1","36","1","en","moisture","0","neutral","0.982858","0.039277","0.211041","0.06529","0.025787","0.078072"
"","","","1","94","1","en","good consistency","0.776877","positive","0.908162","0.062132","0.749733","0.042645","0.017539","0.028585"
"","","","1","26","1","en","thickness","0.655536","positive","0.923018","0.15857","0.543518","0.062614","0.118477","0.075906"
"","","","1","46","1","en","","","","","","","","",""
"","","","1","100","1","en","color","-0.4887","negative","0.998406","0.140287","0.187448","0.04529","0.009105","0.01471"
"","","","1","88","1","en","applicator","0","neutral","0.908355","0.042804","0.767733","0.044033","0.010566","0.025664"
"","","","1","20","1","en","coverage","0","neutral","0.992383","0.397387","0.042686","0.079396","0.073631","0.140002"
"","","","1","83","1","en","packaging","0.897764","positive","0.956296","0.029099","0.66341","0.057851","0.009044","0.029657"
"","","","1","68","1","en","compact tube","0.778607","positive","0.967269","0.287521","0.239058","0.149812","0.070013","0.191878"
"","","","1","86","1","en","applicator","0","neutral","0.993833","0.037405","0.879456","0.044777","0.013043","0.018583"
"","","","1","25","1","en","STAYS","0.686436","positive","0.903215","0","0","0","0","0"
"","","","1","30","1","en","glitter","0.657831","positive","0.93717","0.10994","0.239615","0.077013","0.027524","0.055462"
"","","","1","26","1","en","tube","0.493261","positive","0.926057","0.287521","0.239058","0.149812","0.070013","0.191878"
"","","","1","200","1","en","usual product","-0.648724","negative","0.957572","0.32356","0.116889","0.09329","0.063437","0.074217"
"","","","1","131","1","en","lip gloss","0","neutral","0.978501","0.098137","0.754199","0.019797","0.032557","0.012222"
"","","","1","89","1","en","gloss","0.631375","positive","0.971942","0.036277","0.904116","0.003673","0.000592","0.005198"
"","","","1","172","1","en","applicator","0.732232","positive","0.959243","0.203477","0.246985","0.099267","0.142865","0.083509"
"","","","1","76","1","en","color","0.774733","positive","0.925008","0.073925","0.514713","0.062726","0.011567","0.023971"
"","","","1","29","1","en","colour","0","neutral","0.990117","0.080829","0.704411","0.123607","0.039616","0.080428"
"","","","1","20","1","en","product","0.658649","positive","0.94062","0.029637","0.80825","0.015424","0.002696","0.001984"
"","","","1","42","1","en","prestige","0","neutral","0.942776","0.097028","0.249493","0.052262","0.102369","0.041905"
"","","","1","29","1","en","Long Lasting","0","neutral","0.985068","0.457011","0.097948","0.090807","0.052114","0.072346"
"","","","1","17","1","en","Applicator design","0","neutral","0.971515","0.015948","0.43098","0.124415","0.023809","0.049322"
"400","not enough text provided for language detection","683fc2df5a72ccd90bce04c1","","","","","","","","","","","","",""
"","","","1","54","1","en","usual lip gloss","-0.452229","negative","0.917401","0.440226","0.176139","0.193573","0.120702","0.136704"
"","","","1","183","1","en","lips moist","0","neutral","0.939324","0.258742","0.3799","0.125863","0.154742","0.124718"
"","","","1","55","1","en","lips","0","neutral","0.992459","0.299917","0.569217","0.058943","0.049184","0.054734"
"","","","1","48","1","en","lips","0.905947","positive","0.973148","0.098999","0.654193","0.090072","0.023368","0.087233"
"","","","1","58","1","en","sticky feeling","-0.487057","negative","0.998585","0.067931","0.886525","0.016047","0.011699","0.005076"
"","","","1","50","1","en","product","-0.619914","negative","0.980222","0.069898","0.738659","0.092476","0.006366","0.03597"
"","","","1","136","1","en","normal lip glosses","-0.312802","negative","0.907044","0.239757","0.221852","0.285546","0.18632","0.096026"
"","","","1","9","1","en","COLOR","0.438365","positive","0.927397","0","0","0","0","0"
"","","","1","17","1","en","color","0.773341","positive","0.992383","0.085035","0.288312","0.066166","0.015896","0.043489"
