"code","error","x-global-transaction-id","usage__text_units","usage__text_characters","usage__features","language","keywords__text","keywords__sentiment__score","keywords__sentiment__label","keywords__relevance","keywords__emotion__sadness","keywords__emotion__joy","keywords__emotion__fear","keywords__emotion__disgust","keywords__emotion__anger"
"","","","1","78","1","en","appealing taste","-0.822852","negative","0.996239","0.439438","0.187528","0.044365","0.400387","0.075236"
"400","not enough text provided for language detection","683fc2df5a72ce380cabde29","","","","","","","","","","","","",""
"","","","1","50","1","en","WATERY","-0.533069","negative","0.999878","0.206483","0.141363","0.124391","0.105011","0.210811"
"","","","1","66","1","en","wording","-0.741304","negative","0.933684","0.43845","0.086344","0.081542","0.068251","0.113067"
"","","","1","25","1","en","tone","-0.692931","negative","0.928851","0.231926","0.052121","0.30985","0.206923","0.465777"
"400","not enough text provided for language detection","0e7fa6da5a72ce380ce14e45","","","","","","","","","","","","",""
"","","","1","35","1","en","lip gloss","-0.615615","negative","0.994201","0.217005","0.272369","0.153973","0.156003","0.103738"
"400","not enough text provided for language detection","0e7fa6da5a72ce380ce14e55","","","","","","","","","","","","",""
"400","not enough text provided for language detection","0e7fa6da5a72ce380ce14b15","","","","","","","","","","","","",""
"400","not enough text provided for language detection","0e7fa6da5a72ce380ce14d25","","","","","","","","","","","","",""
"","","","1","23","1","en","EI","-0.761859","negative","0.932914","0.161819","0.157933","0.099978","0.072867","0.09194"
"","","","1","98","1","en","glass beads","0","neutral","0.937231","0.223689","0.027733","0.073292","0.16313","0.690179"
"","","","1","42","1","en","watery description","-0.72233","negative","0.967276","0.420391","0.099925","0.05668","0.117809","0.089618"
"","","","1","106","1","en","spherical glass beads","-0.551041","negative","0.957389","0.371875","0.031289","0.088559","0.125275","0.625054"
"400","not enough text provided for language detection","683fc2df5a72ce380cabdff9","","","","","","","","","","","","",""
"","","","1","28","1","en","word","-0.507902","negative","0.995829","0.455545","0.135936","0.072817","0.099822","0.167677"
"400","not enough text provided for language detection","683fc2df5a72ce380cabe179","","","","","","","","","","","","",""
"","","","1","27","1","en","innovating jelly gloss","0","neutral","0.972844","0.148831","0.179222","0.089081","0.079581","0.088473"
"","","","1","95","1","en","texture","0.541404","positive","0.906241","0.164996","0.045582","0.063905","0.119391","0.415159"
"","","","1","43","1","en","sensorial applicator","0.586798","positive","0.966268","0.29584","0.19902","0.131973","0.284527","0.198631"
