"code","error","x-global-transaction-id","usage__text_units","usage__text_characters","usage__features","language","keywords__text","keywords__sentiment__score","keywords__sentiment__label","keywords__relevance","keywords__emotion__sadness","keywords__emotion__joy","keywords__emotion__fear","keywords__emotion__disgust","keywords__emotion__anger"
"","","","1","120","1","en","color choices","0.757356","positive","0.994522","0.123291","0.411046","0.087553","0.038982","0.037844"
"","","","1","15","1","en","","","","","","","","",""
"","","","1","77","1","en","different colors","0","neutral","0.975259","0.167952","0.122713","0.01609","0.018657","0.012643"
"","","","1","72","1","en","product","0.629369","positive","0.906513","0.056322","0.445806","0.046822","0.064707","0.153603"
"","","","1","89","1","en","natural products.","0.795959","positive","0.965119","0.191978","0.331348","0.039486","0.112995","0.034047"
"","","","1","92","1","en","organic aloe ingredient","0.580617","positive","0.947418","0.115073","0.471738","0.146494","0.141915","0.095328"
"","","","1","25","1","en","","","","","","","","",""
"","","","1","47","1","en","product","0","neutral","0.916502","0.364526","0.382122","0.062535","0.009885","0.023221"
"","","","1","28","1","en","","","","","","","","",""
"","","","1","54","1","en","WATERY RESULTS DESCRIPTION","0","neutral","0.936682","0.042208","0.792878","0.020327","0.041318","0.086259"
"","","","1","28","1","en","smooth glide","0.909955","positive","0.91261","0.105301","0.590438","0.052459","0.03024","0.042812"
"","","","1","42","1","en","description","0.447684","positive","0.992247","0.202852","0.20184","0.030946","0.066987","0.052112"
"","","","1","17","1","en","natural waxes","0.710523","positive","0.941531","0.120453","0.329363","0.05218","0.025383","0.027086"
"","","","1","35","1","en","jelly texture","0.858211","positive","0.995386","0.099197","0.424414","0.112928","0.030382","0.077849"
"","","","1","29","1","en","unique looks","0.881828","positive","0.960698","0.066648","0.737604","0.139905","0.025601","0.045629"
"","","","1","131","1","en","organic oil","0.854923","positive","0.957394","0.050807","0.812182","0.052377","0.044168","0.020267"
"400","not enough text provided for language detection","683fc2df5a72cdbe0b11ac2d","","","","","","","","","","","","",""
"","","","1","58","1","en","effortless ease","0.97598","positive","0.970401","0.20323","0.344695","0.059826","0.064591","0.03858"
"","","","1","61","1","en","organic waxes","0.718566","positive","0.917684","0.068055","0.584352","0.059594","0.040079","0.015891"
"","","","1","41","1","en","nourishing ingredients","0.675288","positive","0.94637","0.212031","0.262888","0.045247","0.095","0.035326"
"","","","1","37","1","en","ingredients","0","neutral","0.94582","0.167476","0.116886","0.035049","0.088293","0.127876"
"","","","1","106","1","en","new sensorial applicator","0.974686","positive","0.972957","0.09148","0.469774","0.047932","0.028965","0.022967"
"","","","1","149","1","en","great things","0.979481","positive","0.980929","0.081593","0.807515","0.092348","0.020557","0.012867"
"","","","1","42","1","en","non","0","neutral","0.971857","0.298372","0.112924","0.199912","0.129678","0.08915"
"","","","1","28","1","en","product","0","neutral","0.916215","0.236522","0.092271","0.040814","0.014763","0.010723"
"","","","1","46","1","en","LIPS","0.873498","positive","0.980687","0.53557","0.060436","0.189156","0.272605","0.214973"
"","","","1","60","1","en","DESCRIPTION","0.555069","positive","0.998999","0.25203","0.358302","0.095554","0.154424","0.157605"
